lemma,pos,gender,level,ipa,meaning_zh,meaning_en,example_es,example_zh,image_file,tags,exam_tags,distractor_1,distractor_2,distractor_3,copyright_note
señal,n,n/a,A2,,符号,señal,Contexto: señal.,例句待内容组补充（señal）。,señal.jpg,A2|n|日常,专四,齿,惹,风景,词库自动生成_待内容组校对
anterior,adj,n/a,A2,,以前的,anterior,Contexto: anterior.,例句待内容组补充（anterior）。,anterior.jpg,A2|adj|日常,专四,椅子,疲劳的,子弹,词库自动生成_待内容组校对
costar,v,n/a,A2,,成本,costar,Contexto: costar.,例句待内容组补充（costar）。,costar.jpg,A2|v|变位|日常,专四,次要的,尤其,环绕,词库自动生成_待内容组校对
muestra,n,f,A2,,样本,muestra,Contexto: muestra.,例句待内容组补充（muestra）。,muestra.jpg,A2|n|日常,专四,距离,收费,危险的,词库自动生成_待内容组校对
nota,n,f,A2,,笔记,nota,Contexto: nota.,例句待内容组补充（nota）。,nota.jpg,A2|n|日常,专四,你会看到,画,尊重,词库自动生成_待内容组校对
derecha,n,f,A2,,正确的,derecha,Contexto: derecha.,例句待内容组补充（derecha）。,derecha.jpg,A2|n|日常,专四,有罪的,实验室,礼物,词库自动生成_待内容组校对
escena,n,f,A2,,场景,escena,Contexto: escena.,例句待内容组补充（escena）。,escena.jpg,A2|n|日常,专四,billy（待校对）,牛奶,网格,词库自动生成_待内容组校对
viejo,adj,n/a,A2,ˈbjexo,旧的；老的,old,Mi abuelo es viejo.,我爷爷年纪大了。,viejo.jpg,日常|形容词,专四,新的,年轻的,小的,词库自动生成_待内容组校对
soltar,v,n/a,A2,,降低,soltar,Contexto: soltar.,例句待内容组补充（soltar）。,soltar.jpg,A2|v|变位|日常,专四,侦探,热的,当前的,词库自动生成_待内容组校对
interesante,adj,n/a,A2,,有趣的,interesante,Contexto: interesante.,例句待内容组补充（interesante）。,interesante.jpg,A2|adj|日常,专四,使命,beneficio（待校对）,中殿,词库自动生成_待内容组校对
vosotros,pron,n/a,A2,,你,vosotros,Contexto: vosotros.,例句待内容组补充（vosotros）。,vosotros.jpg,A2|pron|日常,专四,语言,relacionado（待校对）,感觉,词库自动生成_待内容组校对
menor,adj,n/a,A2,,次要的,menor,Contexto: menor.,例句待内容组补充（menor）。,menor.jpg,A2|adj|日常,专四,arriesgar（待校对）,恰恰,cocinar（待校对）,词库自动生成_待内容组校对
metro,n,m,A2,,地铁,metro,Contexto: metro.,例句待内容组补充（metro）。,metro.jpg,A2|n|日常,专四,对话,展示,亨利,词库自动生成_待内容组校对
entrada,n,f,A2,,入口,entrada,Contexto: entrada.,例句待内容组补充（entrada）。,entrada.jpg,A2|n|日常,专四,夫妻,裙子,feo（待校对）,词库自动生成_待内容组校对
regalo,n,m,A2,,礼物,regalo,Contexto: regalo.,例句待内容组补充（regalo）。,regalo.jpg,A2|n|日常,专四,电影,性的,化妆品,词库自动生成_待内容组校对
edificio,n,m,A2,,建筑,edificio,Contexto: edificio.,例句待内容组补充（edificio）。,edificio.jpg,A2|n|日常,专四,逗乐,工人,裙子,词库自动生成_待内容组校对
enfermedad,n,f,A2,,疾病,enfermedad,Contexto: enfermedad.,例句待内容组补充（enfermedad）。,enfermedad.jpg,A2|n|日常,专四,法庭,manuel（待校对）,interrumpir（待校对）,词库自动生成_待内容组校对
traje,n,m,A2,,套装,traje,Contexto: traje.,例句待内容组补充（traje）。,traje.jpg,A2|n|日常,专四,笔记,证人,负担,词库自动生成_待内容组校对
gritar,v,n/a,A2,,喊,gritar,Contexto: gritar.,例句待内容组补充（gritar）。,gritar.jpg,A2|v|变位|日常,专四,目的,要求,当地的,词库自动生成_待内容组校对
totalmente,adv,n/a,A2,,完全地,totalmente,Contexto: totalmente.,例句待内容组补充（totalmente）。,totalmente.jpg,A2|adv|日常,专四,中央,犯罪,巴塞罗那,词库自动生成_待内容组校对
contestar,v,n/a,A2,,回答,contestar,Contexto: contestar.,例句待内容组补充（contestar）。,contestar.jpg,A2|v|变位|日常,专四,método（待校对）,entrenador（待校对）,dificultad（待校对）,词库自动生成_待内容组校对
peligroso,adj,n/a,A2,,危险的,peligroso,Contexto: peligroso.,例句待内容组补充（peligroso）。,peligroso.jpg,A2|adj|日常,专四,roca（待校对）,关,johnny（待校对）,词库自动生成_待内容组校对
salvo,adj,n/a,A2,,除了,salvo,Contexto: salvo.,例句待内容组补充（salvo）。,salvo.jpg,A2|adj|日常,专四,负责任的,墙,desnudo（待校对）,词库自动生成_待内容组校对
jurar,v,n/a,A2,,发誓,jurar,Contexto: jurar.,例句待内容组补充（jurar）。,jurar.jpg,A2|v|变位|日常,专四,呃,危险的,英雄,词库自动生成_待内容组校对
agradecer,v,n/a,A2,,感谢,agradecer,Contexto: agradecer.,例句待内容组补充（agradecer）。,agradecer.jpg,A2|v|变位|日常,专四,um（待校对）,使命,concentrar（待校对）,词库自动生成_待内容组校对
disculpa,n,f,A2,,对不起,disculpa,Contexto: disculpa.,例句待内容组补充（disculpa）。,disculpa.jpg,A2|n|日常,专四,你的,抓住,放下,词库自动生成_待内容组校对
simple,adj,n/a,A2,,简单的,simple,Contexto: simple.,例句待内容组补充（simple）。,simple.jpg,A2|adj|日常,专四,先生。,terreno（待校对）,钟,词库自动生成_待内容组校对
uh,n,n/a,A2,,呃,uh,Contexto: uh.,例句待内容组补充（uh）。,uh.jpg,A2|n|日常,专四,威严,哈利,报纸,词库自动生成_待内容组校对
debido,adj,n/a,A2,,到期的,debido,Contexto: debido.,例句待内容组补充（debido）。,debido.jpg,A2|adj|日常,专四,resistir（待校对）,candidato（待校对）,买,词库自动生成_待内容组校对
unir,v,n/a,A2,,绑定,unir,Contexto: unir.,例句待内容组补充（unir）。,unir.jpg,A2|v|变位|日常,专四,分享,世界,目的地,词库自动生成_待内容组校对
disfrutar,v,n/a,A2,,享受,disfrutar,Contexto: disfrutar.,例句待内容组补充（disfrutar）。,disfrutar.jpg,A2|v|变位|日常,专四,aclarar（待校对）,后退,palacio（待校对）,词库自动生成_待内容组校对
