lemma,pos,gender,level,ipa,meaning_zh,meaning_en,example_es,example_zh,image_file,tags,exam_tags,distractor_1,distractor_2,distractor_3,copyright_note
agrícola,adj,n/a,C1,,agrícola（待校对）,agrícola,Contexto: agrícola.,例句待内容组补充（agrícola）。,agrícola.jpg,C1|adj|高级,专八,procesar（待校对）,emilio（待校对）,antigüedad（待校对）,词库自动生成_待内容组校对
vano,n,m,C1,,vano（待校对）,vano,Contexto: vano.,例句待内容组补充（vano）。,vano.jpg,C1|n|高级,专八,apretado（待校对）,autopsia（待校对）,fundamentalmente（待校对）,词库自动生成_待内容组校对
zoe,adv,n/a,C1,,zoe（待校对）,zoe,Contexto: zoe.,例句待内容组补充（zoe）。,zoe.jpg,C1|adv|高级,专八,kong（待校对）,la habana（待校对）,dictadura（待校对）,词库自动生成_待内容组校对
angela,adv,n/a,C1,,angela（待校对）,angela,Contexto: angela.,例句待内容组补充（angela）。,angela.jpg,C1|adv|高级,专八,teddy（待校对）,lesbiano（待校对）,castellano（待校对）,词库自动生成_待内容组校对
jess,adv,n/a,C1,,jess（待校对）,jess,Contexto: jess.,例句待内容组补充（jess）。,jess.jpg,C1|adv|高级,专八,enlace（待校对）,talla（待校对）,walker（待校对）,词库自动生成_待内容组校对
afirmación,n,f,C1,,afirmación（待校对）,afirmación,Contexto: afirmación.,例句待内容组补充（afirmación）。,afirmación.jpg,C1|n|高级,专八,motel（待校对）,arriesgado（待校对）,alienígena（待校对）,词库自动生成_待内容组校对
australia,n,f,C1,,australia（待校对）,australia,Contexto: australia.,例句待内容组补充（australia）。,australia.jpg,C1|n|高级,专八,geografía（待校对）,crónica（待校对）,compartido（待校对）,词库自动生成_待内容组校对
turístico,adj,n/a,C1,,turístico（待校对）,turístico,Contexto: turístico.,例句待内容组补充（turístico）。,turístico.jpg,C1|adj|高级,专八,harold（待校对）,liz（待校对）,corrección（待校对）,词库自动生成_待内容组校对
rellenar,v,n/a,C1,,rellenar（待校对）,rellenar,Contexto: rellenar.,例句待内容组补充（rellenar）。,rellenar.jpg,C1|v|变位|高级,专八,vano（待校对）,directivo（待校对）,comprador（待校对）,词库自动生成_待内容组校对
efectivamente,adv,n/a,C1,,efectivamente（待校对）,efectivamente,Contexto: efectivamente.,例句待内容组补充（efectivamente）。,efectivamente.jpg,C1|adv|高级,专八,queria（待校对）,egipto（待校对）,coca（待校对）,词库自动生成_待内容组校对
nacionalista,adj,n/a,C1,,nacionalista（待校对）,nacionalista,Contexto: nacionalista.,例句待内容组补充（nacionalista）。,nacionalista.jpg,C1|adj|高级,专八,comparado（待校对）,suicida（待校对）,bush（待校对）,词库自动生成_待内容组校对
boom,n,n/a,C1,,boom（待校对）,boom,Contexto: boom.,例句待内容组补充（boom）。,boom.jpg,C1|n|高级,专八,obsesión（待校对）,refugiado（待校对）,estirar（待校对）,词库自动生成_待内容组校对
talla,n,f,C1,,talla（待校对）,talla,Contexto: talla.,例句待内容组补充（talla）。,talla.jpg,C1|n|高级,专八,colar（待校对）,venezolano（待校对）,portal（待校对）,词库自动生成_待内容组校对
cobertura,n,f,C1,,cobertura（待校对）,cobertura,Contexto: cobertura.,例句待内容组补充（cobertura）。,cobertura.jpg,C1|n|高级,专八,tarifa（待校对）,portal（待校对）,rellenar（待校对）,词库自动生成_待内容组校对
discreto,adj,n/a,C1,,discreto（待校对）,discreto,Contexto: discreto.,例句待内容组补充（discreto）。,discreto.jpg,C1|adj|高级,专八,pervertido（待校对）,gonzalo（待校对）,beca（待校对）,词库自动生成_待内容组校对
psíquico,adj,n/a,C1,,psíquico（待校对）,psíquico,Contexto: psíquico.,例句待内容组补充（psíquico）。,psíquico.jpg,C1|adj|高级,专八,corrección（待校对）,escuadrón（待校对）,autopsia（待校对）,词库自动生成_待内容组校对
retrasado,adj,n/a,C1,,retrasado（待校对）,retrasado,Contexto: retrasado.,例句待内容组补充（retrasado）。,retrasado.jpg,C1|adj|高级,专八,competición（待校对）,honrado（待校对）,ochenta（待校对）,词库自动生成_待内容组校对
carbón,n,n/a,C1,,carbón（待校对）,carbón,Contexto: carbón.,例句待内容组补充（carbón）。,carbón.jpg,C1|n|高级,专八,mediado（待校对）,aprendizaje（待校对）,relevante（待校对）,词库自动生成_待内容组校对
aprendizaje,n,m,C1,,aprendizaje（待校对）,aprendizaje,Contexto: aprendizaje.,例句待内容组补充（aprendizaje）。,aprendizaje.jpg,C1|n|高级,专八,mojar（待校对）,evidentemente（待校对）,am（待校对）,词库自动生成_待内容组校对
policia,adv,n/a,C1,,policia（待校对）,policia,Contexto: policia.,例句待内容组补充（policia）。,policia.jpg,C1|adv|高级,专八,mediado（待校对）,precaución（待校对）,picar（待校对）,词库自动生成_待内容组校对
retirado,adj,n/a,C1,,retirado（待校对）,retirado,Contexto: retirado.,例句待内容组补充（retirado）。,retirado.jpg,C1|adj|高级,专八,estímulo（待校对）,justamente（待校对）,magistrado（待校对）,词库自动生成_待内容组校对
