lemma,pos,gender,level,ipa,meaning_zh,meaning_en,example_es,example_zh,image_file,tags,exam_tags,distractor_1,distractor_2,distractor_3,copyright_note
eléctrico,adj,n/a,B1,,eléctrico（待校对）,eléctrico,Contexto: eléctrico.,例句待内容组补充（eléctrico）。,eléctrico.jpg,B1|adj|进阶,专四,partida（待校对）,sindicato（待校对）,pene（待校对）,词库自动生成_待内容组校对
sonrisa,n,f,B1,,sonrisa（待校对）,sonrisa,Contexto: sonrisa.,例句待内容组补充（sonrisa）。,sonrisa.jpg,B1|n|进阶,专四,eva（待校对）,copia（待校对）,ganador（待校对）,词库自动生成_待内容组校对
alemania,n,f,B1,,alemania（待校对）,alemania,Contexto: alemania.,例句待内容组补充（alemania）。,alemania.jpg,B1|n|进阶,专四,gobernador（待校对）,retroceder（待校对）,rodilla（待校对）,词库自动生成_待内容组校对
conexión,n,f,B1,,conexión（待校对）,conexión,Contexto: conexión.,例句待内容组补充（conexión）。,conexión.jpg,B1|n|进阶,专四,profundar（待校对）,afortunado（待校对）,celular（待校对）,词库自动生成_待内容组校对
valiente,adj,n/a,B1,,valiente（待校对）,valiente,Contexto: valiente.,例句待内容组补充（valiente）。,valiente.jpg,B1|adj|进阶,专四,eduardo（待校对）,cagar（待校对）,avergonzar（待校对）,词库自动生成_待内容组校对
plata,n,f,B1,,plata（待校对）,plata,Contexto: plata.,例句待内容组补充（plata）。,plata.jpg,B1|n|进阶,专四,x（待校对）,sujetar（待校对）,despacio（待校对）,词库自动生成_待内容组校对
lenguaje,n,m,B1,,lenguaje（待校对）,lenguaje,Contexto: lenguaje.,例句待内容组补充（lenguaje）。,lenguaje.jpg,B1|n|进阶,专四,diseño（待校对）,gestión（待校对）,abordar（待校对）,词库自动生成_待内容组校对
apreciar,v,n/a,B1,,apreciar（待校对）,apreciar,Contexto: apreciar.,例句待内容组补充（apreciar）。,apreciar.jpg,B1|v|变位|进阶,专四,italia（待校对）,sorprendente（待校对）,progreso（待校对）,词库自动生成_待内容组校对
copia,n,f,B1,,copia（待校对）,copia,Contexto: copia.,例句待内容组补充（copia）。,copia.jpg,B1|n|进阶,专四,espacial（待校对）,guiar（待校对）,sopa（待校对）,词库自动生成_待内容组校对
puto,n,m,B1,,puto（待校对）,puto,Contexto: puto.,例句待内容组补充（puto）。,puto.jpg,B1|n|进阶,专四,infancia（待校对）,pluma（待校对）,signo（待校对）,词库自动生成_待内容组校对
gloria,n,f,B1,,gloria（待校对）,gloria,Contexto: gloria.,例句待内容组补充（gloria）。,gloria.jpg,B1|n|进阶,专四,dedicado（待校对）,maravilla（待校对）,sede（待校对）,词库自动生成_待内容组校对
suelto,adj,n/a,B1,,suelto（待校对）,suelto,Contexto: suelto.,例句待内容组补充（suelto）。,suelto.jpg,B1|adj|进阶,专四,parado（待校对）,concluir（待校对）,presupuesto（待校对）,词库自动生成_待内容组校对
adulto,n,m,B1,,adulto（待校对）,adulto,Contexto: adulto.,例句待内容组补充（adulto）。,adulto.jpg,B1|n|进阶,专四,monje（待校对）,fiel（待校对）,consciente（待校对）,词库自动生成_待内容组校对
impresión,n,f,B1,,impresión（待校对）,impresión,Contexto: impresión.,例句待内容组补充（impresión）。,impresión.jpg,B1|n|进阶,专四,consciente（待校对）,asistente（待校对）,extraordinario（待校对）,词库自动生成_待内容组校对
vencer,v,n/a,B1,,vencer（待校对）,vencer,Contexto: vencer.,例句待内容组补充（vencer）。,vencer.jpg,B1|v|变位|进阶,专四,medicamento（待校对）,sueldo（待校对）,kevin（待校对）,词库自动生成_待内容组校对
básico,adj,n/a,B1,,básico（待校对）,básico,Contexto: básico.,例句待内容组补充（básico）。,básico.jpg,B1|adj|进阶,专四,asamblea（待校对）,izquierdo（待校对）,incorporar（待校对）,词库自动生成_待内容组校对
religioso,adj,n/a,B1,,religioso（待校对）,religioso,Contexto: religioso.,例句待内容组补充（religioso）。,religioso.jpg,B1|adj|进阶,专四,gris（待校对）,patio（待校对）,conformar（待校对）,词库自动生成_待内容组校对
promesa,n,f,B1,,promesa（待校对）,promesa,Contexto: promesa.,例句待内容组补充（promesa）。,promesa.jpg,B1|n|进阶,专四,pérez（待校对）,contentar（待校对）,infantil（待校对）,词库自动生成_待内容组校对
amplio,adj,n/a,B1,,amplio（待校对）,amplio,Contexto: amplio.,例句待内容组补充（amplio）。,amplio.jpg,B1|adj|进阶,专四,comprometer（待校对）,cheque（待校对）,cirugía（待校对）,词库自动生成_待内容组校对
nacido,adj,n/a,B1,,nacido（待校对）,nacido,Contexto: nacido.,例句待内容组补充（nacido）。,nacido.jpg,B1|adj|进阶,专四,traidor（待校对）,móvil（待校对）,ayuntamiento（待校对）,词库自动生成_待内容组校对
gobernador,n,m,B1,,gobernador（待校对）,gobernador,Contexto: gobernador.,例句待内容组补充（gobernador）。,gobernador.jpg,B1|n|进阶,专四,alcance（待校对）,paciencia（待校对）,préstamo（待校对）,词库自动生成_待内容组校对
moneda,n,f,B1,,moneda（待校对）,moneda,Contexto: moneda.,例句待内容组补充（moneda）。,moneda.jpg,B1|n|进阶,专四,femenino（待校对）,arroz（待校对）,entrenar（待校对）,词库自动生成_待内容组校对
bastardo,n,m,B1,,bastardo（待校对）,bastardo,Contexto: bastardo.,例句待内容组补充（bastardo）。,bastardo.jpg,B1|n|进阶,专四,salvaje（待校对）,protesta（待校对）,conectar（待校对）,词库自动生成_待内容组校对
creación,n,f,B1,,creación（待校对）,creación,Contexto: creación.,例句待内容组补充（creación）。,creación.jpg,B1|n|进阶,专四,dragón（待校对）,jornada（待校对）,género（待校对）,词库自动生成_待内容组校对
alegría,n,f,B1,,alegría（待校对）,alegría,Contexto: alegría.,例句待内容组补充（alegría）。,alegría.jpg,B1|n|进阶,专四,basado（待校对）,magia（待校对）,pluma（待校对）,词库自动生成_待内容组校对
extrañar,v,n/a,B1,,extrañar（待校对）,extrañar,Contexto: extrañar.,例句待内容组补充（extrañar）。,extrañar.jpg,B1|v|变位|进阶,专四,fila（待校对）,mapa（待校对）,docena（待校对）,词库自动生成_待内容组校对
