lemma,pos,gender,level,sense,ipa,meaning_zh,meaning_en,example_es,example_zh,image_file,tags,exam_tags,distractor_1,distractor_2,distractor_3,copyright_note
agua,n,f,A1,1,,饮用水；清水（专四写作高频基础词）,,Bebe dos litros de agua todos los días para mantener el cuerpo sano y fuerte.,每天喝两升水，保持身体健康强壮。,agua_1.jpg,义项包|考试路径|A1|n,专四,书包；双肩背包,问题；难题；困难,肉类（通用统称，饮食话题核心）,大创内容组_words_tem4.csv
ahora,adv,n/a,A1,1,,现在；此刻,,Ahora mismo estoy estudiando español para preparar el examen de nivel B1.,我现在正在学习西班牙语，为B1水平考试做准备。,ahora_1.jpg,考试路径|A1|adv,专四,药；医学,书包；双肩背包,湖；湖泊,大创内容组_senses_table_tem4 7.30.xlsx
algo,pron,n/a,A1,1,,某物；一些东西,,"Necesito algo para escribir, ¿puedes prestarme un bolígrafo o un lápiz?",我需要一些东西来写字，你能借我一支圆珠笔或铅笔吗？,algo_1.jpg,考试路径|A1|pron,专四,月份；一个月,这里；在这儿,公交车；大巴,大创内容组_senses_table_tem4 7.30.xlsx
alguien,pron,n/a,A1,1,,某人；有人,,"Alguien dejó su mochila en la biblioteca, deberíamos llevarla a la oficina de objetos perdidos.",有人把书包落在图书馆了，我们应该把它送到失物招领处。,alguien_1.jpg,考试路径|A1|pron,专四,早上；上午,某物；一些东西,头；头部,大创内容组_senses_table_tem4 7.30.xlsx
allí,adv,n/a,A1,1,,那儿（在那边）,,"La biblioteca está allí, al final del pasillo, a la derecha de la escalera.",图书馆在那边，走廊尽头，楼梯的右边。,alli_1.jpg,考试路径|A1|adv,专四,在附近；不远,白色的；空白的（纸张等）,困；睡意；梦,大创内容组_senses_table_tem4 7.30.xlsx
alto,adj,n/a,A1,1,,高的；高级的；高层的,,El edificio de la biblioteca es muy alto y se ve desde cualquier punto de la ciudad.,图书馆大楼很高，从城市的任何地方都能看到它。,alto_1.jpg,考试路径|A1|adj,专四,湖；湖泊,某人；有人,腿；腿部,大创内容组_senses_table_tem4 7.30.xlsx
antes,adv,n/a,A1,1,,以前；从前,,"Antes de venir a la universidad, nunca había estudiado español en mi vida.",来上大学之前，我这辈子从没学过西班牙语。,antes_1.jpg,考试路径|A1|adv,专四,鼻子,眼睛；目光,耳朵,大创内容组_senses_table_tem4 7.30.xlsx
aquí,adv,n/a,A1,1,,这里；在这儿,,Aquí tienes todos los materiales que necesitas para preparar tu presentación.,这儿有你需要准备展示的所有材料。,aqui_1.jpg,考试路径|A1|adv,专四,月份；一个月,食物；饭菜（通用吃食统称）,下午；傍晚,大创内容组_senses_table_tem4 7.31.xlsx
así,adv,n/a,A1,1,,如此；这样；以这种方式,,"Si haces así los ejercicios de gramática, seguro que mejorarás rápidamente.",如果你这样语法练习，肯定会进步很快。,asi_1.jpg,考试路径|A1|adv,专四,药；医学,那儿（在那边）,岛；岛屿,大创内容组_senses_table_tem4 7.31.xlsx
atreverse,v,n/a,A1,1,,敢于；勇敢做,,Nunca me atrevo a hablar en español delante de mucha gente por miedo a equivocarme.,因为害怕犯错误，我从来不敢在很多人面前说西班牙语。,atreverse_1.jpg,考试路径|A1|v,专四,车站；站点,月份；一个月,今天,大创内容组_senses_table_tem4 7.31.xlsx
autobús,n,m,A1,1,,公交车；大巴,,Tomamos el autobús número diez para ir al centro comercial cada sábado.,每周六我们坐 10 路公交车去商场。,autobus_1.jpg,考试路径|A1|n,专四,小时；点钟,月份；一个月,食物；饭菜（通用吃食统称）,大创内容组_words_tem4.csv
ayer,adv,n/a,A1,1,,昨天,,Ayer hablé con un estudiante nativo en el intercambio.,昨天我在语言交换活动中和母语同学聊天。,ayer_1.jpg,考试路径|A1|adv,专四,药；医学,头；头部,星期；一周,大创内容组_words_tem4.csv
año,n,m,A1,1,,年；年份,,Este año voy a presentarme al examen de español TEM4.,今年我要参加西班牙语专业四级考试。,anio_1.jpg,义项包|考试路径|A1|n,专四,在附近；不远,每；每个,脚；足,大创内容组_words_tem4.csv
